epoch,train_loss,train_acc,val_loss,val_acc,src_test_acc,tgt_test_acc
1,0.08963,0.97628,0.04223,0.98767,N/A,0.2154
2,0.03646,0.98881,0.03193,0.9905,N/A,0.2367
3,0.02766,0.99096,0.03109,0.9905,N/A,0.1971
4,0.0211,0.99361,0.02666,0.99183,N/A,0.2176
5,0.01775,0.99433,0.02982,0.99183,N/A,0.2712
6,0.01412,0.99591,0.02673,0.992,N/A,0.234
7,0.01178,0.99615,0.02096,0.993,N/A,0.2277
8,0.00927,0.99702,0.02431,0.99367,N/A,0.2172
9,0.00765,0.99743,0.02432,0.99267,N/A,0.222
10,0.00426,0.99859,0.03134,0.99267,N/A,0.2149
11,0.00317,0.99896,0.02439,0.99317,N/A,0.2069
12,0.00352,0.99894,0.02879,0.99383,N/A,0.225
13,0.00263,0.9992,0.02444,0.99433,N/A,0.2376
14,0.0015,0.99956,0.0232,0.99467,N/A,0.2367
15,0.00134,0.99963,0.02101,0.9945,N/A,0.2364
16,0.00062,0.99987,0.02385,0.9945,N/A,0.2265
17,0.0006,0.99985,0.0249,0.9945,N/A,0.2444
18,0.00035,0.99996,0.02387,0.995,N/A,0.2294
19,0.00025,1.0,0.02308,0.99517,N/A,0.2388
20,0.00033,0.99996,0.02411,0.99517,N/A,0.233
